Time,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15
0,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
12,3,3,2,3,3,1,6,3,4,3,3,1,2,3,3
18,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
29,3,3,3,5,5,3,7,4,5,5,4,2,3,6,6
35,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
47,4,5,3,6,6,3,7,5,6,6,5,3,4,6,6
53,,,,,,,,,,,,,,,
59,,,,,,,9,,,,,,,,
65,6,7,5,6,7,6,,5,7,6,5,4,5,7,6
70,,,,,9,,,,,,,,,,
76,,,,,,,,,,,,,,,
82,6,7,7,6,,6,,6,6,7,6,6,6,8,6
88,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
100,7,7,8,7,,6,,7,6,7,7,8,6,,7
